order_id,product_id,add_to_cart_order,reordered
583,5785,1,1
583,40910,2,1
583,11039,3,1
583,40571,4,1
583,31907,5,1
583,18616,6,0
583,12916,7,1
583,4605,8,1
583,2064,9,0
583,31236,10,1
583,27086,11,1
750,24195,1,1
750,17487,2,1
750,9839,3,1
750,26209,4,1
750,31635,5,1
750,24010,6,1
750,15462,7,1
750,48220,8,1
750,42768,9,1
750,30855,10,1
750,42479,11,1
750,23898,12,1
750,23375,13,1
750,40427,14,1
750,16759,15,1
750,23959,16,1
750,14633,17,1
750,23543,18,1
750,44560,19,1
750,48957,20,1
750,20437,21,0
750,6110,22,0
750,10565,23,0
750,21616,24,1
827,21903,1,0
827,48577,2,0
827,42701,3,0
999,37152,1,1
999,43619,2,0
999,5445,3,0
999,4289,4,1
999,34423,5,0
1428,37646,1,1
1428,31954,2,1
1428,47630,3,1
1428,18935,4,0
1428,40706,5,0
1428,12192,6,1
1654,44632,1,1
1654,24838,2,1
1654,22170,3,1
1654,10314,4,1
1654,8580,5,0
1654,3988,6,1
1654,19006,7,1
1654,49475,8,0
1691,8898,1,1
1691,24852,2,1
1691,1266,3,0
1691,22655,4,0
1691,48532,5,1
1691,48205,6,1
1691,5450,7,1
1691,15290,8,1
1691,31717,9,0
1691,42625,10,1
1691,9076,11,1
1691,26209,12,0
1691,260,13,0
1691,11777,14,0
1691,4605,15,0
1691,49683,16,0
1691,38755,17,1
1691,39059,18,1
1755,13176,1,1
1755,32,2,1
1755,13675,3,1
1755,31555,4,1
1755,2086,5,1
1755,1409,6,1
2073,29848,1,1
2073,24852,2,1
2073,46586,3,1
2073,7736,4,1
2073,35234,5,1
2073,21713,6,0
2152,35914,1,1
2152,31343,2,1
2152,651,3,1
2152,22220,4,1
2152,14259,5,1
2152,43258,6,1
2152,38012,7,1
2152,33731,8,1
2152,12872,9,1
2152,5994,10,1
2152,39619,11,1
2152,35887,12,0
2152,18625,13,0
2152,3376,14,1
2152,39928,15,1
2152,24954,16,1
2152,13176,17,1
2152,36313,18,1
2152,6568,19,1
2152,19173,20,1
2152,2086,21,1
2152,1443,22,0
2152,26914,23,0
2152,38426,24,0
2152,26475,25,0
2152,5876,26,1
2152,11777,27,1
2152,21137,28,1
2152,37646,29,1
2152,8053,30,0
2152,31447,31,0
2152,47209,32,1
2152,6972,33,0
2152,17706,34,1
2169,30233,1,1
2169,24852,2,1
2169,42450,3,1
2169,5646,4,1
2169,11182,5,1
2169,19677,6,1
2169,5450,7,1
2169,13702,8,1
2169,15700,9,1
2169,30489,10,1
2169,26209,11,1
2169,31717,12,1
2169,46676,13,1
2169,16757,14,1
2169,7649,15,1
2169,48174,16,1
2169,45007,17,1
2169,49401,18,0
2169,29256,19,0
2169,36735,20,0
2169,45544,21,0
2169,38382,22,0
2169,21137,23,0
2169,10749,24,0
2186,24852,1,1
2409,9839,1,0
2409,23695,2,1
2409,42244,3,1
2409,25890,4,0
2409,2019,5,1
2409,35209,6,0
2409,4461,7,0
2704,16797,1,1
2704,11777,2,1
2704,41950,3,0
2704,48364,4,1
2704,34126,5,1
2704,13500,6,0
2769,35503,1,1
2769,48034,2,1
2769,28390,3,1
2769,49235,4,1
3165,9422,1,1
3165,38383,2,0
3165,37646,3,1
3165,31954,4,1
3165,39275,5,1
3165,47630,6,1
3165,12192,7,0
3650,47144,1,1
3650,35221,2,1
3650,21709,3,1
3650,26620,4,1
3650,35898,5,1
3650,7753,6,0
3676,22504,1,0
3676,2380,2,0
3676,26648,3,0
3676,1752,4,0
3676,30169,5,0
3676,8193,6,0
3676,44142,7,0
3676,34969,8,0
3676,23177,9,0
3676,28985,10,0
3676,8192,11,0
4241,32650,1,1
4241,40454,2,1
4241,46341,3,0
4241,21573,4,0
4241,34617,5,0
4241,26598,6,1
4241,38349,7,1
4241,48494,8,0
4241,32453,9,0
4241,47792,10,0
4241,40046,11,0
4509,48871,1,1
4509,32784,2,1
4509,39719,3,0
4509,12508,4,1
4661,24852,1,1
4661,9405,2,1
4661,28851,3,1
4661,2210,4,1
4661,28934,5,1
4661,25890,6,1
4661,49131,7,1
4661,49236,8,0
4661,27966,9,1
4661,42536,10,1
4661,24184,11,1
4661,26410,12,0
4661,7963,13,0
4661,36606,14,0
4782,1463,1,0
4782,34668,2,0
4782,10798,3,0
4782,30489,4,1
4782,10926,5,0
4782,30391,6,0
4782,48056,7,0
4939,17677,1,0
4939,28836,2,1
4939,6023,3,0
4939,40997,4,1
5386,45607,1,0
5386,19933,2,0
5386,42646,3,0
5386,13176,4,0
5386,44548,5,0
5386,31394,6,0
5386,30958,7,0
5386,43772,8,0
5592,9788,1,0
5592,25659,2,1
5592,19048,3,0
5592,6765,4,0
5592,43961,5,1
5592,5383,6,1
5592,21775,7,1
5592,46667,8,1
5592,42768,9,1
5592,35912,10,1
5592,23142,11,1
5592,42700,12,1
5592,34126,13,1
5592,37107,14,0
5592,29662,15,1
5592,22395,16,0
5592,7493,17,1
5942,6631,1,0
5942,21137,2,0
5942,1408,3,0
5942,8555,4,0
5942,22825,5,0
6054,15937,1,0
6054,45007,2,1
6054,37120,3,0
6054,5876,4,1
6054,10243,5,0
6054,47766,6,1
6054,3376,7,0
6054,40706,8,1
6054,2780,9,0
6054,26209,10,0
6054,31717,11,0
6233,46932,1,1
6233,48642,2,1
6233,1890,3,1
6233,45063,4,1
6233,25242,5,1
6233,8012,6,1
6233,47209,7,1
6233,2540,8,0
6233,2086,9,1
6233,4692,10,1
6233,2846,11,0
6233,38012,12,1
6233,8467,13,1
6233,18288,14,1
6233,12254,15,1
6233,2825,16,1
6233,38641,17,0
6233,39721,18,0
6233,29739,19,0
6233,44812,20,0
6233,8661,21,0
6233,1575,22,0
6233,26324,23,0
6233,30442,24,0
6306,21137,1,1
6306,23909,2,1
6306,6184,3,0
6306,557,4,1
6306,11817,5,0
6306,41290,6,0
6306,16882,7,0
6306,34735,8,0
6306,40348,9,0
6306,11461,10,0
6306,34299,11,0
6306,42431,12,0
6306,21115,13,0
6306,20561,14,0
6306,22695,15,0
6306,3374,16,1
6306,32167,17,0
6306,29363,18,1
6306,6735,19,0
6306,38168,20,0
6306,15100,21,0
6622,49235,1,1
6622,41400,2,0
6648,31759,1,1
6648,38768,2,0
6655,25718,1,1
6655,19173,2,1
6655,48988,3,1
6655,11187,4,1
6655,47943,5,1
6655,14366,6,1
6655,41840,7,1
6655,28066,8,1
6655,45445,9,1
6655,40063,10,1
6655,17224,11,1
6655,10749,12,1
6655,43768,13,1
6655,47209,14,1
6655,30391,15,1
6655,27086,16,1
6655,13166,17,1
6655,39180,18,1
6655,37531,19,1
6655,22164,20,1
6655,43165,21,1
6800,45007,1,0
6800,24852,2,1
6800,47766,3,1
6869,6902,1,1
6869,26668,2,0
6869,39947,3,0
6869,36550,4,1
6869,41950,5,0
6869,7021,6,1
6869,13984,7,1
6869,16185,8,0
7027,26284,1,1
7027,38200,2,1
7153,3459,1,0
7153,24852,2,1
7153,46260,3,0
7153,22972,4,0
7153,18569,5,0
7153,16797,6,1
7153,47866,7,0
7153,14381,8,1
7153,1217,9,0
7153,27706,10,0
7153,17794,11,0
7153,9741,12,0
7685,10199,1,0
7685,37646,2,0
7685,169,3,0
7685,19706,4,1
7685,37496,5,1
7685,48057,6,1
7685,24810,7,1
7685,20178,8,1
7685,12020,9,1
7685,10036,10,1
7685,7381,11,1
7685,47209,12,1
7745,35914,1,0
7745,45309,2,0
7745,7781,3,0
7745,6218,4,0
7745,26668,5,0
7745,26848,6,0
7745,33731,7,0
7745,13176,8,0
7745,28476,9,0
7745,5764,10,0
7745,16593,11,0
7745,8277,12,0
7745,21137,13,0
7745,49235,14,0
7745,38985,15,0
7745,10036,16,0
7745,30192,17,0
7745,37322,18,0
7745,29156,19,0
7745,47318,20,0
8001,41400,1,1
8001,32455,2,1
8123,28590,1,0
8123,15153,2,0
8123,38400,3,0
8123,21903,4,0
8123,47766,5,0
8123,28204,6,0
8123,18599,7,0
8123,6508,8,0
8123,18567,9,0
8123,23909,10,0
8209,30169,1,1
8209,36183,2,1
8209,23576,3,1
8209,25332,4,1
8209,33318,5,0
8209,45774,6,1
8209,40587,7,1
8209,43227,8,0
8209,39581,9,0
8209,48559,10,0
8209,13176,11,0
8209,12547,12,0
8490,31506,1,1
8490,42736,2,1
8490,24852,3,1
8490,27325,4,1
8490,1194,5,1
8490,21616,6,1
8490,23165,7,1
8490,24964,8,1
8992,41329,1,1
8992,21417,2,0
8992,14129,3,1
8992,1757,4,0
8992,17803,5,1
8992,49416,6,1
8998,6184,1,1
8998,17957,2,1
8998,21573,3,1
8998,39534,4,0
8998,42265,5,1
8998,15541,6,1
9169,19744,1,1
9169,32652,2,1
9169,10193,3,1
9169,20199,4,1
9169,10957,5,1
9453,37065,1,1
9453,48455,2,0
9453,43472,3,0
9453,43371,4,0
9453,35622,5,0
9453,38739,6,0
9453,36920,7,0
9453,29668,8,0
9453,4086,9,0
9453,27558,10,0
9453,46834,11,0
9453,3374,12,0
9516,432,1,1
9516,47766,2,1
9516,34969,3,1
9516,35547,4,1
9516,28842,5,1
9516,28465,6,1
9516,24799,7,1
9516,43662,8,1
9516,27663,9,1
9516,26131,10,0
9516,22035,11,1
9516,34005,12,0
9516,40706,13,0
9516,5077,14,1
9699,11130,1,1
9699,23102,2,1
9699,24725,3,1
9699,12154,4,1
9699,12557,5,1
9699,41793,6,1
10810,30776,1,1
10810,26384,2,1
10810,24838,3,1
10810,17948,4,1
10810,31869,5,1
10810,9076,6,1
10810,39024,7,1
10810,31015,8,1
10856,5479,1,1
10856,24852,2,1
10856,33647,3,1
10856,26384,4,1
10856,2825,5,1
10856,14633,6,0
10856,18531,7,0
10856,44661,8,0
10856,5025,9,0
10856,26209,10,1
10856,43712,11,0
10856,7021,12,0
10856,18362,13,0
10856,19478,14,0
11059,47873,1,1
11059,25466,2,1
11059,47900,3,1
11269,13176,1,1
11269,37687,2,0
11269,41950,3,0
11269,30391,4,0
11269,45007,5,0
11269,32655,6,0
11269,5785,7,0
11269,48857,8,0
11269,48647,9,0
11269,4138,10,0
11269,26620,11,0
11269,16875,12,0
11269,49072,13,0
