order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
673612,72001,prior,1,3,11,
42850,72001,prior,2,1,10,12.0
1615313,72001,prior,3,1,14,0.0
255258,72001,prior,4,4,22,10.0
530240,72001,prior,5,4,10,7.0
969063,72001,prior,6,3,16,6.0
1969304,72001,prior,7,2,16,30.0
1233677,72001,prior,8,5,12,10.0
3221546,72001,prior,9,4,11,13.0
3021129,72001,prior,10,0,19,3.0
2095491,72001,prior,11,5,9,5.0
1342708,72001,prior,12,4,14,6.0
2572934,72001,prior,13,2,9,5.0
2652761,72001,prior,14,0,10,5.0
2014120,72001,prior,15,6,9,6.0
1652241,72001,prior,16,2,16,10.0
1614773,72001,prior,17,1,16,6.0
1531683,72001,prior,18,5,18,11.0
1177823,72001,prior,19,1,20,10.0
2358855,72001,prior,20,4,17,3.0
1185013,72001,prior,21,4,22,0.0
1283971,72001,prior,22,0,18,10.0
1787355,72001,prior,23,1,17,8.0
1194047,72001,prior,24,2,13,8.0
3292785,72001,train,25,0,19,5.0
2731680,72002,prior,1,0,12,
668102,72002,prior,2,0,13,7.0
309158,72002,prior,3,3,10,30.0
2965790,72002,prior,4,0,14,4.0
2279993,72002,prior,5,0,12,14.0
3319374,72002,prior,6,1,10,8.0
410814,72002,prior,7,5,16,11.0
1701241,72002,prior,8,5,11,7.0
1519337,72002,prior,9,0,11,16.0
3061143,72002,prior,10,6,14,30.0
646615,72002,prior,11,5,17,30.0
1258626,72002,prior,12,3,8,19.0
3291024,72002,prior,13,1,14,30.0
1744696,72002,prior,14,2,11,22.0
2348665,72002,prior,15,5,15,3.0
2357626,72002,prior,16,1,9,24.0
2890401,72002,test,17,1,12,0.0
1755494,72003,prior,1,0,15,
106819,72003,prior,2,3,17,24.0
167754,72003,prior,3,4,14,15.0
2267122,72003,prior,4,4,16,7.0
3236599,72003,prior,5,5,16,30.0
1035902,72003,test,6,1,18,24.0
3153373,72004,prior,1,2,16,
2671091,72004,prior,2,3,22,30.0
1554211,72004,prior,3,4,16,30.0
1180673,72004,prior,4,5,10,22.0
2757559,72004,train,5,1,11,24.0
490604,72005,prior,1,5,15,
219283,72005,prior,2,5,16,28.0
3385281,72005,prior,3,6,11,22.0
